ABLA,"Specimen estimate (biomass, density or abundance ) for Diptera Tanypodinae Ablabesmyia spp."
ALIM,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Aulodrilus limnobius"
ALMO,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Hydrobiidae Amnicola limnosa"
ALOM,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Arcteonais lomondi"
AMME,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Aulodrilus americanus"
AMPH,"Specimen estimate (biomass, density or abundance ) for Amphipoda"
APIG,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Aulodrilus pigueti"
APLU,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Aulodrilus pluriseta"
BSOW,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Tubificinae Branchiura sowerbyi"
BTEN,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Hydrobiidae Bythinia tentaculata"
CHAE,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Chaetogaster sp."
CHIR,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Chironomus spp."
CLAD,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Cladopelma sp."
COEL,"Specimen estimate (biomass, density or abundance ) for Diptera Tanypodinae Coelotanypus sp."
CRYP,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Cryptochironomus sp."
CTAN,"Specimen estimate (biomass, density or abundance ) for Diptera Tanytarsinii Cladotanytarsus sp."
DBUG,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Dreisseniidae Dreissena rostriformis bugensis"
DEMI,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Demicryptochironomus sp."
depth_m,Depth sample was grabbed in meters
DERO,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Dero sp."
DICR,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Dicrotendipes sp."
DIPO,"Specimen estimate (biomass, density or abundance ) for Pontoporeiidae Diporeia spp."
DNEO,"Specimen estimate (biomass, density or abundance ) for Diptera Chironominii Dicrotendipes neomodestus"
DNIV,"Specimen estimate (biomass, density or abundance ) for Oligochaeta Naididae Dero nivea"
DPOL,"Specimen estimate (biomass, density or abundance ) for Pelecypoda Dreisseniidae Dreissena polymorpha"
