"","Year","Region","Station","Replicate","lat","lon","depth","substrate","Season","Na2O","Magnesium","MagnesiumOxide","AluminumOxide","SiliconDioxide","Quartz","PhosphorusPentoxide","Sulphur","DDT_TOTAL","P.P.TDE","P.P.DDE","P.P.DDE.1","HeptachlorEpoxide","Potassium","PotassiumOxide","Calcium","CalciumOxide","TitaniumDioxide","Chromium","Manganese","ManganeseOxide","XTR.Iron","Iron","IronOxide","Cobalt","Nickel","Copper","Zinc","Selenium","Strontium","Beryllium","Silver","Cadmium","Tin","TotalCarbon","OrganicCarbon","Carbon.Nitrogen_Ratio","TotalNitrogen","Mercury","Lead","Uranium","Vanadium","Arsenic","Chloride","Fluoride","Sand","Silt","Clay","Mean_grainsize","simpsonD","shannon","Chironomidae","Oligochaeta","Dreisseniidae","Sphaeriidae","Diporeia","DPOL","DBUG"
"1",2006,"Saginaw Bay","10",1,43.94166667,-83.62383333,11,"silt ",3,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5,0.864520148,2.238381905,0,3684.24,0,0,0,0,0
"2",2006,"Saginaw Bay","10",2,43.94166667,-83.62383333,11,"silt ",3,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5,0.81286626,1.96141587,0,2270.52,0,0,0,0,0
"3",2006,"Saginaw Bay","10",3,43.94166667,-83.62383333,11,"silt ",3,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5,0.850461185,2.040843277,0,4712.4,0,64.26,0,0,0
"4",2006,"Saginaw Bay","11",1,44.0205,-83.57366667,9,"silty sand ",3,1.1,6160.2,1.5,6.5,79.5,74.5,0.1,0,1.1,0.1,0.7,5.3,0.1,2495.2,2.2,1830.8,1.2,0.3,55.3,2076.3,0.2,2.8,24068.9,2.3,9.8,41,23.7,54.8,10.5,49.4,0.4,0.2,1.1,5.4,0.4,0.8,7.1,0.1,150.2,35.6,0.4,31.3,0.9,23.2,402.3,61,11.3,27.4,3.9,0.743801881,1.754835876,0,2034.9,0,0,0,0,0
"5",2006,"Saginaw Bay","11",2,44.0205,-83.57366667,9,"silty sand ",3,1.1,6160.2,1.5,6.5,79.5,74.5,0.1,0,1.1,0.1,0.7,5.3,0.1,2495.2,2.2,1830.8,1.2,0.3,55.3,2076.3,0.2,2.8,24068.9,2.3,9.8,41,23.7,54.8,10.5,49.4,0.4,0.2,1.1,5.4,0.4,0.8,7.1,0.1,150.2,35.6,0.4,31.3,0.9,23.2,402.3,61,11.3,27.4,3.9,0.65723147,1.341343602,0,3941.28,342.72,0,0,85.68,257.04
"6",2006,"Saginaw Bay","11",3,44.0205,-83.57366667,9,"silty sand ",3,1.1,6160.2,1.5,6.5,79.5,74.5,0.1,0,1.1,0.1,0.7,5.3,0.1,2495.2,2.2,1830.8,1.2,0.3,55.3,2076.3,0.2,2.8,24068.9,2.3,9.8,41,23.7,54.8,10.5,49.4,0.4,0.2,1.1,5.4,0.4,0.8,7.1,0.1,150.2,35.6,0.4,31.3,0.9,23.2,402.3,61,11.3,27.4,3.9,0.552893094,1.126163573,0,3727.08,42.84,0,0,0,42.84
"7",2006,"Saginaw Bay","13",1,43.9595,-83.48866667,3,"sand, gravel ",3,0.7,6115.3,0.5,3.5,90,89.9,0,0,1.1,0,0.6,5.4,0.1,2453.1,1.4,1895.2,0.7,0.2,16,2090.3,0,0.9,23763.8,0.4,1.7,9.9,7,9.9,10.1,15.6,0.1,0.1,0.3,5.1,0.2,0.1,7.2,0,128.1,11.8,0.4,26.4,0.3,23.3,402.6,91.5,2,6.4,2.2,0.569484143,0.955699891,0,64.26,0,0,0,0,0
"8",2006,"Saginaw Bay","13",2,43.9595,-83.48866667,3,"sand, gravel ",3,0.7,6115.3,0.5,3.5,90,89.9,0,0,1.1,0,0.6,5.4,0.1,2453.1,1.4,1895.2,0.7,0.2,16,2090.3,0,0.9,23763.8,0.4,1.7,9.9,7,9.9,10.1,15.6,0.1,0.1,0.3,5.1,0.2,0.1,7.2,0,128.1,11.8,0.4,26.4,0.3,23.3,402.6,91.5,2,6.4,2.2,0,0,0,0,0,0,0,0,0
"9",2006,"Saginaw Bay","13",3,43.9595,-83.48866667,3,"sand, gravel ",3,0.7,6115.3,0.5,3.5,90,89.9,0,0,1.1,0,0.6,5.4,0.1,2453.1,1.4,1895.2,0.7,0.2,16,2090.3,0,0.9,23763.8,0.4,1.7,9.9,7,9.9,10.1,15.6,0.1,0.1,0.3,5.1,0.2,0.1,7.2,0,128.1,11.8,0.4,26.4,0.3,23.3,402.6,91.5,2,6.4,2.2,0,0,0,0,0,0,0,0,0
"10",2006,"Saginaw Bay","14",1,43.73833333,-83.64083333,3.6,"sand, gravel ",3,1.3,6280.4,1.8,7.6,76,70,0.1,0,1.1,0.2,0.9,5.2,0.1,2542.2,2.5,2017.9,1.4,0.4,69.9,2010.9,0.2,3.4,24485.9,2.9,12.2,51,29.3,68,10.7,60.2,0.5,0.2,1.3,5.6,0.4,1.1,8.2,0.1,155.4,41.3,0.4,39.9,1.1,23.4,403.4,51.2,14.5,34,4.6,0.671163179,1.198944344,0,0,2698.92,0,0,1113.84,1585.08
"11",2006,"Saginaw Bay","14",2,43.73833333,-83.64083333,3.6,"sand, gravel ",3,1.3,6280.4,1.8,7.6,76,70,0.1,0,1.1,0.2,0.9,5.2,0.1,2542.2,2.5,2017.9,1.4,0.4,69.9,2010.9,0.2,3.4,24485.9,2.9,12.2,51,29.3,68,10.7,60.2,0.5,0.2,1.3,5.6,0.4,1.1,8.2,0.1,155.4,41.3,0.4,39.9,1.1,23.4,403.4,51.2,14.5,34,4.6,0.696900657,1.354266029,0,64.26,1242.36,0,0,385.56,856.8
"12",2006,"Saginaw Bay","14",3,43.73833333,-83.64083333,3.6,"sand, gravel ",3,1.3,6280.4,1.8,7.6,76,70,0.1,0,1.1,0.2,0.9,5.2,0.1,2542.2,2.5,2017.9,1.4,0.4,69.9,2010.9,0.2,3.4,24485.9,2.9,12.2,51,29.3,68,10.7,60.2,0.5,0.2,1.3,5.6,0.4,1.1,8.2,0.1,155.4,41.3,0.4,39.9,1.1,23.4,403.4,51.2,14.5,34,4.6,0.554290635,0.919470457,0,21.42,1477.98,0,0,835.38,642.6
